"","gta.series","gta.number"
"1700001","E","296121"
"1700002","E","536533"
"1700003","Z","313016"
"1700004","E","538833"
"1700005","Z","714054"
"1700006","E","925334"
"1700007","J","695136"
"1700008","E","245406"
"1700009","J","739499"
"1700010","J","193431"
"1700011","Z","133455"
"1700012","K","812442"
"1700013","J","077199"
"1700014","K","694231"
"1700015","Z","351832"
"1700016","K","606703"
"1700017","E","902837"
"1700018","E","144288"
"1700019","J","505098"
"1700020","Z","914547"
"1700021","K","103163"
"1700022","K","416685"
"1700023","E","878014"
"1700024","E","882239"
"1700025","E","647323"
"1700026","E","053966"
"1700027","Z","506970"
"1700028","J","075386"
"1700029","E","725135"
"1700030","K","800188"
"1700031","K","585337"
"1700032","K","964599"
"1700033","Z","211897"
"1700034","Z","937635"
"1700035","J","375120"
"1700036","Z","115456"
"1700037","Z","875228"
"1700038","K","254345"
"1700039","Z","981812"
"1700040","E","398702"
"1700041","Z","921267"
"1700042","E","004869"
"1700043","K","091752"
"1700044","K","379838"
"1700045","K","685191"
"1700046","Z","208084"
"1700047","K","388075"
"1700048","J","830572"
"1700049","Z","277892"
"1700050","Z","635362"
"1700051","K","643333"
"1700052","E","257691"
"1700053","Z","717969"
"1700054","E","643920"
"1700055","Z","313288"
"1700056","E","395373"
"1700057","E","478302"
"1700058","K","292006"
"1700059","E","639542"
"1700060","J","032915"
"1700061","J","466953"
"1700062","E","344667"
"1700063","Z","648824"
"1700064","K","460373"
"1700065","Z","129888"
"1700066","J","112377"
"1700067","E","470603"
"1700068","K","502874"
"1700069","J","457948"
"1700070","Z","628709"
"1700071","K","941664"
"1700072","K","990551"
"1700073","K","844177"
"1700074","E","958000"
"1700075","K","720115"
"1700076","J","341990"
"1700077","J","776039"
"1700078","K","842412"
"1700079","J","281340"
"1700080","Z","938034"
"1700081","E","113388"
"1700082","E","830824"
"1700083","J","658370"
"1700084","E","431838"
"1700085","E","953642"
"1700086","E","823795"
"1700087","Z","476231"
"1700088","Z","696557"
"1700089","E","010426"
